benchmarks of sentinel/sentinel-otf-blocked-mt.e
threads	2gb	4gb	6gb	8gb	10gb	12gb	14gb	16gb	
serial	1379	2744	4167	5526	6946	8330	9804	11247	
2	899	1506	2296	3048	3792	4564	5393	6511	
4	543	835	1254	1730	2107	2522	2941	3433	
6	410	666	996	1356	1690	1977	2340	2713	
8	312	508	764	1028	1293	1507	1818	2179	
10	254	414	594	743	906	1091	1329	1680	
12	227	363	520	722	896	1068	1278	1552	
14	185	316	469	633	782	927	1079	1307	
16	172	278	420	567	709	841	1000	1194	
18	158	266	391	527	660	771	930	1133	
20	145	242	360	498	624	731	864	1151	
22	132	230	348	465	588	699	802	942	
24	121	225	344	460	581	675	847	1172	
26	123	233	338	454	560	676	819	982	
28	133	240	343	463	571	685	805	1055	
30	130	227	331	442	636	689	845	1022	
32	155	248	355	475	612	725	872	958	
