benchmarks of sentinel/sentinel-otf-blocked-mt.e
threads	2gb	4gb	6gb	8gb	10gb	12gb	14gb	16gb	
serial	1378	2745	4170	5526	6954	8430	10916	11240	
2	709	1397	2108	2801	3516	4219	4973	5716	
4	356	701	1057	1406	1758	2113	2493	2866	
6	241	471	712	941	1179	1415	1662	1913	
8	181	355	535	711	886	1066	1300	1506	
10	145	285	431	569	715	855	1008	1270	
12	124	242	363	480	600	724	871	1066	
14	115	221	329	427	548	652	772	1036	
16	114	226	329	434	567	660	801	1045	
18	112	220	331	420	537	632	775	860	
20	109	221	327	432	545	648	776	965	
22	108	217	323	425	544	639	813	935	
24	109	217	320	428	544	640	748	1048	
26	109	221	326	431	553	650	781	1084	
28	116	230	342	442	571	675	805	1201	
30	117	230	346	454	582	686	824	1265	
32	188	249	348	462	608	691	820	1282	
