benchmarks of sentinel/sentinel-otf-blocked-mt.e
threads	2gb	4gb	6gb	8gb	10gb	12gb	14gb	16gb	
serial	1379	2744	4164	5528	6945	8327	9816	11245	
2	899	1506	2375	3055	3808	4598	5450	6171	
4	554	848	1277	1738	2147	2561	2977	3468	
6	377	576	865	1177	1448	1820	2331	2686	
8	311	507	767	1023	1290	1500	1779	2184	
10	256	413	619	817	1109	1297	1266	1599	
12	213	350	491	716	893	1058	1300	1579	
14	185	317	471	632	778	922	1120	1240	
16	172	277	420	569	713	839	977	1213	
18	158	266	389	533	660	773	928	1058	
20	144	240	359	499	625	735	839	1066	
22	133	230	348	466	593	699	839	1007	
24	123	226	349	460	581	679	806	1101	
26	123	231	339	456	560	678	783	1131	
28	130	233	350	463	567	688	821	1103	
30	132	229	354	457	580	649	848	1406	
32	151	217	324	456	529	699	830	1042	
