benchmarks of mpi/mpi-vert.e
procs	2gb	4gb	6gb	8gb	10gb	12gb	14gb	16gb	
serial	1379	2745	4165	5923	6945	8332	9804	11243	
2	720	1413	2123	2807	3523	4218	4968	5704	
4	426	778	1142	1504	1856	2206	2606	2988	
6	313	555	826	1064	1347	1571	1852	2115	
8	255	444	631	829	1035	1242	1468	1674	
10	225	393	558	730	897	1068	1253	1412	
12	205	356	533	692	845	1014	1174	1316	
14	192	313	447	591	760	865	1030	1185	
16	186	309	435	571	703	828	965	1079	
18	189	314	440	574	686	807	955	1081	
20	185	284	406	522	650	745	883	1000	
22	186	272	374	478	574	730	828	947	
24	162	280	399	519	631	738	844	930	
26	178	257	367	487	579	702	816	926	
28	176	259	371	469	575	674	792	906	
30	180	258	380	492	597	715	819	907	
