4k blocks
dims	2gb	4gb	6gb	8gb	10gb	12gb	14gb	16gb	
2x2000	683	1318	1895	2525	3221	3876	7141	10305
4x1000	647	1259	1899	2500	3259	3787	7185	10282
8x500	620	1238	1879	2502	3203	4406	7891	10973
16x250	610	1235	1849	2496	3091	4332	7871	10848
32x125	613	1225	1813	2433	3234	4363	7750	10899
64x62	613	1223	1790	2371	3186	4371	7840	11419
125x32	582	1139	1655	2245	2857	3824	7259	10220
250x16	584	1120	1659	2242	2747	3731	7051	9983
500x8	596	1165	1727	2279	2849	3880	7026	9897
1000x4	718	1435	2201	2834	3663	5042	8072	11104
2000x2	1224	2340	3556	4937	6421	7788	11222	14004
